PF20998.3	PF20998.3
PF08168.16	PF08168.16
PF25467.1	PF25467.1
PF17398.7	PF17398.7
PF05819.16	PF05819.16
PF22898.2	PF22898.2
PF22904.2	PF22904.2
PF22902.2	PF22902.2
PF23192.1	PF23192.1
PF23193.1	PF23193.1
PF23194.1	PF23194.1
PF23196.1	PF23196.1
PF23660.1	PF23660.1
PF25182.1	PF25182.1
PF01798.23	PF01798.23
PF04135.18	PF04135.18
PF04147.17	PF04147.17
PF09420.15	PF09420.15
PF10863.13	PF10863.13
PF09805.14	PF09805.14
PF08062.16	PF08062.16
PF05997.17	PF05997.17
PF07767.16	PF07767.16
PF08156.18	PF08156.18
PF21572.2	PF21572.2
PF21667.2	PF21667.2
PF15370.11	PF15370.11
PF16201.10	PF16201.10
PF08075.16	PF08075.16
PF22085.1	PF22085.1
PF00141.28	PF00141.28
PF01328.22	PF01328.22
PF11895.13	PF11895.13
PF04088.18	PF04088.18
PF12827.12	PF12827.12
PF04882.17	PF04882.17
PF03212.20	PF03212.20
PF09275.15	PF09275.15
PF09276.15	PF09276.15
PF02917.20	PF02917.20
PF02918.20	PF02918.20
PF07149.16	PF07149.16
PF06732.16	PF06732.16
PF16754.10	PF16754.10
PF21613.2	PF21613.2
PF16329.10	PF16329.10
PF06297.19	PF06297.19
PF09803.14	PF09803.14
PF15786.10	PF15786.10
PF05476.16	PF05476.16
PF08634.16	PF08634.16
PF10203.14	PF10203.14
PF08692.15	PF08692.15
PF12740.14	PF12740.14
PF02529.20	PF02529.20
PF05115.19	PF05115.19
PF08041.16	PF08041.16
PF03742.19	PF03742.19
PF09262.17	PF09262.17
PF09263.16	PF09263.16
PF05648.19	PF05648.19
PF23020.1	PF23020.1
PF04695.18	PF04695.18
PF08610.15	PF08610.15
PF25098.1	PF25098.1
PF04614.17	PF04614.17
PF06398.17	PF06398.17
PF07163.17	PF07163.17
PF04757.19	PF04757.19
PF23315.1	PF23315.1
PF23120.1	PF23120.1
PF25394.1	PF25394.1
PF22748.1	PF22748.1
PF22315.2	PF22315.2
PF21476.4	PF21476.4
PF22353.1	PF22353.1
PF18328.6	PF18328.6
PF05714.16	PF05714.16
PF11526.13	PF11526.13
PF21940.1	PF21940.1
PF03011.20	PF03011.20
PF21807.2	PF21807.2
PF22250.1	PF22250.1
PF22251.1	PF22251.1
PF09216.15	PF09216.15
PF22162.2	PF22162.2
PF00365.25	PF00365.25
PF00294.29	PF00294.29
PF18468.6	PF18468.6
PF02901.20	PF02901.20
PF22365.1	PF22365.1
PF17147.9	PF17147.9
PF12367.13	PF12367.13
PF09070.16	PF09070.16
PF11567.13	PF11567.13
PF10333.14	PF10333.14
PF07543.17	PF07543.17
PF21197.3	PF21197.3
PF13994.11	PF13994.11
PF07819.20	PF07819.20
PF25141.1	PF25141.1
PF24660.1	PF24660.1
PF25140.1	PF25140.1
PF06162.17	PF06162.17
PF09587.15	PF09587.15
PF15437.11	PF15437.11
PF15436.11	PF15436.11
PF15549.11	PF15549.11
PF18627.6	PF18627.6
PF16896.10	PF16896.10
PF19304.4	PF19304.4
PF14083.11	PF14083.11
PF18204.6	PF18204.6
PF13962.11	PF13962.11
PF00342.24	PF00342.24
PF00162.24	PF00162.24
PF17836.7	PF17836.7
PF15864.10	PF15864.10
PF08665.17	PF08665.17
PF18105.7	PF18105.7
PF24947.1	PF24947.1
PF02878.22	PF02878.22
PF02879.22	PF02879.22
PF02880.22	PF02880.22
PF00408.26	PF00408.26
PF20857.2	PF20857.2
PF20858.2	PF20858.2
PF04608.18	PF04608.18
PF09656.15	PF09656.15
PF09419.16	PF09419.16
PF16459.11	PF16459.11
PF16462.11	PF16462.11
PF21822.3	PF21822.3
PF23781.1	PF23781.1
PF23803.1	PF23803.1
PF23812.1	PF23812.1
PF23857.1	PF23857.1
PF06894.17	PF06894.17
PF06896.17	PF06896.17
PF08748.17	PF08748.17
PF08890.17	PF08890.17
PF09550.16	PF09550.16
PF10109.15	PF10109.15
PF10666.15	PF10666.15
PF10876.14	PF10876.14
PF06199.17	PF06199.17
PF08813.17	PF08813.17
PF16778.10	PF16778.10
PF24243.1	PF24243.1
PF12571.13	PF12571.13
PF05100.17	PF05100.17
PF08400.16	PF08400.16
PF16532.11	PF16532.11
PF05069.18	PF05069.18
PF06223.18	PF06223.18
PF23840.1	PF23840.1
PF23840.1	PF09646.16
PF23841.1	PF23841.1
PF23842.1	PF23842.1
PF16807.11	PF16807.11
PF13554.12	PF13554.12
PF12691.13	PF12691.13
PF23818.1	PF23818.1
PF20765.3	PF20765.3
PF23961.1	PF23961.1
PF09327.17	PF09327.17
PF23980.1	PF23980.1
PF06141.17	PF06141.17
PF05489.18	PF05489.18
PF10668.15	PF10668.15
PF07141.16	PF07141.16
PF05944.17	PF05944.17
PF04761.17	PF04761.17
PF24229.1	PF24229.1
PF04630.18	PF04630.18
PF16460.11	PF16460.11
PF16461.11	PF16461.11
PF16463.11	PF16463.11
PF23806.1	PF23806.1
PF23971.1	PF23971.1
PF23849.1	PF23849.1
PF04985.20	PF04985.20
PF18906.5	PF18906.5
PF20608.4	PF20608.4
PF24144.1	PF24144.1
PF09693.15	PF09693.15
PF24591.1	PF24591.1
PF23895.1	PF23895.1
PF23903.1	PF23903.1
PF24071.1	PF24071.1
PF24128.1	PF24128.1
PF24184.1	PF24184.1
PF24230.1	PF24230.1
PF24331.1	PF24331.1
PF24623.2	PF24623.2
PF03334.19	PF03334.19
